m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
478,Water use,Wastewater,Produced municipal wastewater,Mauritania,2023,0.0214,10^9 m3/year,I,false
480,Water use,Wastewater,Produced municipal wastewater,Mauritius,2021,0.0006,10^9 m3/year,I,false
480,Water use,Wastewater,Produced municipal wastewater,Mauritius,2022,0.0006,10^9 m3/year,I,false
480,Water use,Wastewater,Produced municipal wastewater,Mauritius,2023,0.0006,10^9 m3/year,I,false
484,Water use,Wastewater,Produced municipal wastewater,Mexico,2021,8.84,10^9 m3/year,A,false
484,Water use,Wastewater,Produced municipal wastewater,Mexico,2022,8.89,10^9 m3/year,A,false
484,Water use,Wastewater,Produced municipal wastewater,Mexico,2023,8.82,10^9 m3/year,A,false
492,Water use,Wastewater,Produced municipal wastewater,Monaco,2021,0.005887085,10^9 m3/year,X,false
492,Water use,Wastewater,Produced municipal wastewater,Monaco,2022,0.005561396,10^9 m3/year,X,false
492,Water use,Wastewater,Produced municipal wastewater,Monaco,2023,0.005561396,10^9 m3/year,I,false
496,Water use,Wastewater,Produced municipal wastewater,Mongolia,2021,0.146,10^9 m3/year,I,false
496,Water use,Wastewater,Produced municipal wastewater,Mongolia,2022,0.146,10^9 m3/year,I,false
496,Water use,Wastewater,Produced municipal wastewater,Mongolia,2023,0.146,10^9 m3/year,I,false
499,Water use,Wastewater,Produced municipal wastewater,Montenegro,2021,0.031,10^9 m3/year,I,false
499,Water use,Wastewater,Produced municipal wastewater,Montenegro,2022,0.031,10^9 m3/year,I,false
499,Water use,Wastewater,Produced municipal wastewater,Montenegro,2023,0.031,10^9 m3/year,I,false
504,Water use,Wastewater,Produced municipal wastewater,Morocco,2021,0.750002,10^9 m3/year,I,false
504,Water use,Wastewater,Produced municipal wastewater,Morocco,2022,0.750002,10^9 m3/year,I,false
504,Water use,Wastewater,Produced municipal wastewater,Morocco,2023,0.750002,10^9 m3/year,I,false
516,Water use,Wastewater,Produced municipal wastewater,Namibia,2021,0.0195,10^9 m3/year,I,false
516,Water use,Wastewater,Produced municipal wastewater,Namibia,2022,0.0195,10^9 m3/year,I,false
516,Water use,Wastewater,Produced municipal wastewater,Namibia,2023,0.0195,10^9 m3/year,I,false
528,Water use,Wastewater,Produced municipal wastewater,Netherlands (Kingdom of the),2021,1.9639,10^9 m3/year,A,false
528,Water use,Wastewater,Produced municipal wastewater,Netherlands (Kingdom of the),2022,1.8078,10^9 m3/year,A,false
528,Water use,Wastewater,Produced municipal wastewater,Netherlands (Kingdom of the),2023,2.2453,10^9 m3/year,A,false
558,Water use,Wastewater,Produced municipal wastewater,Nicaragua,2021,0.304,10^9 m3/year,I,false
558,Water use,Wastewater,Produced municipal wastewater,Nicaragua,2022,0.304,10^9 m3/year,I,false
558,Water use,Wastewater,Produced municipal wastewater,Nicaragua,2023,0.304,10^9 m3/year,I,false
